index	offset	hex	dec
0	0x0000A904	0x4141	16705
1	0x0000A906	0x4242	16962
2	0x0000A908	0x4443	17475
3	0x0000A90A	0x4545	17733
4	0x0000A90C	0x4746	18246
5	0x0000A90E	0x4848	18504
6	0x0000A910	0x4A49	19017
7	0x0000A912	0x4B4B	19275
8	0x0000A914	0x4B4B	19275
9	0x0000A916	0x4B4B	19275
10	0x0000A918	0x4B4B	19275
11	0x0000A91A	0x4B4B	19275
12	0x0000A91C	0x4B4B	19275
13	0x0000A91E	0x4A4B	19019
14	0x0000A920	0x4A4A	19018
15	0x0000A922	0x4A4A	19018
16	0x0000A924	0x4B4A	19274
17	0x0000A926	0x4A4B	19019
18	0x0000A928	0x4A4A	19018
19	0x0000A92A	0x494A	18762
20	0x0000A92C	0x4949	18761
21	0x0000A92E	0x4849	18505
22	0x0000A930	0x4748	18248
23	0x0000A932	0x4747	18247
24	0x0000A934	0x4647	17991
25	0x0000A936	0x4546	17734
26	0x0000A938	0x4445	17477
27	0x0000A93A	0x4344	17220
28	0x0000A93C	0x4243	16963
29	0x0000A93E	0x4242	16962
30	0x0000A940	0x4142	16706
31	0x0000A942	0x4141	16705
32	0x0000A944	0x4041	16449
