index	offset	hex	dec
0	0x0000AE8E	0x3F3E	16190
1	0x0000AE90	0x4140	16704
2	0x0000AE92	0x4342	17218
3	0x0000AE94	0x4544	17732
4	0x0000AE96	0x4746	18246
5	0x0000AE98	0x4948	18760
6	0x0000AE9A	0x4B4A	19274
7	0x0000AE9C	0x4B4B	19275
8	0x0000AE9E	0x4B4B	19275
9	0x0000AEA0	0x4B4B	19275
10	0x0000AEA2	0x4A4B	19019
11	0x0000AEA4	0x4A4A	19018
12	0x0000AEA6	0x494A	18762
13	0x0000AEA8	0x4949	18761
14	0x0000AEAA	0x4849	18505
15	0x0000AEAC	0x4848	18504
16	0x0000AEAE	0x4747	18247
17	0x0000AEB0	0x4646	17990
18	0x0000AEB2	0x4445	17477
19	0x0000AEB4	0x4343	17219
20	0x0000AEB6	0x4142	16706
