index	offset	hex	dec
0	0x0000B822	0x0050	80
1	0x0000B824	0x0040	64
2	0x0000B826	0x0110	272
3	0x0000B828	0x0050	80
4	0x0000B82A	0x0000	0
5	0x0000B82C	0x0040	64
6	0x0000B82E	0x0000	0
7	0x0000B830	0x0000	0
8	0x0000B832	0x0000	0
9	0x0000B834	0x0000	0
10	0x0000B836	0x0000	0
11	0x0000B838	0x0000	0
12	0x0000B83A	0x0000	0
13	0x0000B83C	0x0000	0
14	0x0000B83E	0x0000	0
15	0x0000B840	0x0000	0
16	0x0000B842	0x0010	16
17	0x0000B844	0x0100	256
18	0x0000B846	0x0054	84
19	0x0000B848	0x0100	256
20	0x0000B84A	0x0054	84
21	0x0000B84C	0x0100	256
22	0x0000B84E	0x0058	88
