index	offset	hex	dec
0	0x0000AEE9	0x001E	30
1	0x0000AEEA	0x001E	30
2	0x0000AEEB	0x001E	30
3	0x0000AEEC	0x001F	31
4	0x0000AEED	0x001F	31
5	0x0000AEEE	0x001F	31
6	0x0000AEEF	0x001F	31
7	0x0000AEF0	0x0020	32
8	0x0000AEF1	0x0020	32
9	0x0000AEF2	0x0020	32
10	0x0000AEF3	0x0020	32
11	0x0000AEF4	0x0020	32
12	0x0000AEF5	0x0020	32
13	0x0000AEF6	0x0020	32
14	0x0000AEF7	0x0020	32
15	0x0000AEF8	0x0020	32
16	0x0000AEF9	0x0020	32
17	0x0000AEFA	0x0020	32
18	0x0000AEFB	0x0020	32
19	0x0000AEFC	0x0020	32
20	0x0000AEFD	0x0020	32
21	0x0000AEFE	0x0020	32
22	0x0000AEFF	0x0020	32
23	0x0000AF00	0x0020	32
24	0x0000AF01	0x0020	32
25	0x0000AF02	0x0020	32
26	0x0000AF03	0x0020	32
27	0x0000AF04	0x001F	31
28	0x0000AF05	0x001F	31
29	0x0000AF06	0x001F	31
30	0x0000AF07	0x001E	30
31	0x0000AF08	0x001E	30
32	0x0000AF09	0x001E	30
33	0x0000AF0A	0x001E	30
34	0x0000AF0B	0x001D	29
35	0x0000AF0C	0x001D	29
36	0x0000AF0D	0x001D	29
37	0x0000AF0E	0x001C	28
38	0x0000AF0F	0x001C	28
39	0x0000AF10	0x001B	27
40	0x0000AF11	0x001A	26
41	0x0000AF12	0x001A	26
42	0x0000AF13	0x001A	26
43	0x0000AF14	0x001A	26
44	0x0000AF15	0x001A	26
45	0x0000AF16	0x001A	26
46	0x0000AF17	0x001A	26
47	0x0000AF18	0x001A	26
48	0x0000AF19	0x001A	26
49	0x0000AF1A	0x001A	26
50	0x0000AF1B	0x001A	26
51	0x0000AF1C	0x001B	27
52	0x0000AF1D	0x001B	27
53	0x0000AF1E	0x001B	27
54	0x0000AF1F	0x001B	27
55	0x0000AF20	0x001C	28
