index	offset	hex	dec
0	0x0000B3E6	0x00A0	160
1	0x0000B3E8	0x0100	256
2	0x0000B3EA	0x0058	88
3	0x0000B3EC	0x0100	256
4	0x0000B3EE	0x0054	84
5	0x0000B3F0	0x0100	256
6	0x0000B3F2	0x0054	84
7	0x0000B3F4	0x0000	0
8	0x0000B3F6	0x0010	16
9	0x0000B3F8	0x0000	0
10	0x0000B3FA	0x0000	0
11	0x0000B3FC	0x0000	0
12	0x0000B3FE	0x0000	0
13	0x0000B400	0x0000	0
14	0x0000B402	0x0000	0
15	0x0000B404	0x0000	0
16	0x0000B406	0x0000	0
17	0x0000B408	0x0040	64
18	0x0000B40A	0x0100	256
19	0x0000B40C	0x0050	80
20	0x0000B40E	0x0000	0
21	0x0000B410	0x0040	64
